team1,team2,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,BB McCullum,M Chinnaswamy Stadium,Bangalore,"R Dravid, W Jaffer, V Kohli, JH Kallis, CL White, MV Boucher, B Akhil, AA Noffke, P Kumar, Z Khan, SB Joshi","SC Ganguly, BB McCullum, RT Ponting, DJ Hussey, Mohammad Hafeez, LR Shukla, WP Saha, AB Agarkar, AB Dinda, M Kartik, I Sharma",1,1,League,runs,140.0,223.0,20.0,N
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"K Goel, JR Hopes, KC Sangakkara, Yuvraj Singh, SM Katich, IK Pathan, P Dharmani, B Lee, PP Chawla, WA Mota, S Sreesanth","PA Patel, ML Hayden, MEK Hussey, MS Dhoni, SK Raina, JDP Oram, S Badrinath, Joginder Sharma, P Amarnath, MS Gony, M Muralitharan",1,2,League,runs,33.0,241.0,20.0,N
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,MV Boucher,Wankhede Stadium,Mumbai,"L Ronchi, ST Jayasuriya, DJ Thornely, RV Uthappa, PR Shah, AM Nayar, SM Pollock, Harbhajan Singh, MA Khote, A Nehra, DS Kulkarni","S Chanderpaul, R Dravid, LRPL Taylor, JH Kallis, V Kohli, MV Boucher, B Akhil, P Kumar, Z Khan, SB Joshi, R Vinay Kumar",1,4,League,wickets,5.0,166.0,20.0,N
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,SR Watson,Sawai Mansingh Stadium,Jaipur,"M Kaif, Kamran Akmal, YK Pathan, SR Watson, DS Lehmann, RA Jadeja, Pankaj Singh, D Salunkhe, SK Warne, SK Trivedi, MM Patel","K Goel, JR Hopes, KC Sangakkara, DPMD Jayawardene, Yuvraj Singh, IK Pathan, S Sohal, B Lee, PP Chawla, WA Mota, S Sreesanth",1,6,League,wickets,6.0,167.0,20.0,N
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,ML Hayden,"MA Chidambaram Stadium, Chepauk",Chennai,"PA Patel, ML Hayden, MEK Hussey, SK Raina, MS Dhoni, JDP Oram, S Badrinath, Joginder Sharma, P Amarnath, MS Gony, M Muralitharan","L Ronchi, ST Jayasuriya, RV Uthappa, SM Pollock, DJ Bravo, AM Nayar, MA Khote, Harbhajan Singh, A Nehra, VS Yeligati, DS Kulkarni",1,8,League,runs,6.0,209.0,20.0,N
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"K Goel, IK Pathan, KC Sangakkara, Yuvraj Singh, RR Sarwan, DPMD Jayawardene, S Sohal, B Lee, PP Chawla, S Sreesanth, VRV Singh","L Ronchi, ST Jayasuriya, RV Uthappa, DJ Bravo, SS Tiwary, SM Pollock, AM Nayar, Harbhajan Singh, MA Khote, DS Kulkarni, A Nehra",1,10,League,runs,66.0,183.0,20.0,N
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,JDP Oram,"MA Chidambaram Stadium, Chepauk",Chennai,"PA Patel, ML Hayden, MS Dhoni, MEK Hussey, S Badrinath, SK Raina, JDP Oram, Joginder Sharma, P Amarnath, MS Gony, M Muralitharan","SC Ganguly, BB McCullum, RT Ponting, WP Saha, DJ Hussey, Mohammad Hafeez, LR Shukla, AB Agarkar, M Kartik, I Sharma, AB Dinda",1,11,League,wickets,7.0,136.0,20.0,N
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,SR Watson,M Chinnaswamy Stadium,Bangalore,"S Chanderpaul, R Dravid, LRPL Taylor, JH Kallis, V Kohli, MV Boucher, P Kumar, SB Joshi, Z Khan, R Vinay Kumar, A Kumble","GC Smith, M Rawat, YK Pathan, SR Watson, M Kaif, RA Jadeja, D Salunkhe, SK Warne, Sohail Tanvir, SK Trivedi, MM Patel",1,12,League,wickets,9.0,148.0,20.0,N
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,MS Dhoni,M Chinnaswamy Stadium,Bangalore,"B Chipli, W Jaffer, LRPL Taylor, JH Kallis, MV Boucher, V Kohli, R Dravid, P Kumar, Z Khan, B Akhil, DW Steyn","PA Patel, ML Hayden, MEK Hussey, SK Raina, MS Dhoni, JDP Oram, S Badrinath, JA Morkel, Joginder Sharma, P Amarnath, MS Gony",1,15,League,runs,13.0,179.0,20.0,N
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,ST Jayasuriya,Eden Gardens,Kolkata,"BB McCullum, SC Ganguly, RT Ponting, DB Das, DJ Hussey, Mohammad Hafeez, LR Shukla, AB Agarkar, M Kartik, I Sharma, AB Dinda","AM Rahane, ST Jayasuriya, MK Pandey, RV Uthappa, DJ Bravo, SM Pollock, AM Nayar, A Nehra, DS Kulkarni, CRD Fernando, PR Shah",1,16,League,wickets,7.0,138.0,20.0,N
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,SA Asnodkar,Sawai Mansingh Stadium,Jaipur,"GC Smith, SA Asnodkar, M Kaif, YK Pathan, SR Watson, RA Jadeja, SK Warne, Sohail Tanvir, M Rawat, SK Trivedi, MM Patel","Salman Butt, SC Ganguly, AB Agarkar, BJ Hodge, DJ Hussey, LR Shukla, DB Das, WP Saha, Umar Gul, I Sharma, AB Dinda",1,18,League,wickets,7.0,165.0,20.0,N
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,IK Pathan,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"SE Marsh, JR Hopes, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, K Goel, IK Pathan, PP Chawla, S Sreesanth, VRV Singh, Gagandeep Singh","Mohammad Hafeez, SC Ganguly, DB Das, BJ Hodge, DJ Hussey, LR Shukla, WP Saha, AB Agarkar, Umar Gul, I Sharma, AB Dinda",1,22,League,runs,3.0,157.0,20.0,N
