team1,team2,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over
9,4,9,1,4,BB McCullum,22,Bangalore,"R Dravid, W Jaffer, V Kohli, JH Kallis, CL White, MV Boucher, B Akhil, AA Noffke, P Kumar, Z Khan, SB Joshi","SC Ganguly, BB McCullum, RT Ponting, DJ Hussey, Mohammad Hafeez, LR Shukla, WP Saha, AB Agarkar, AB Dinda, M Kartik, I Sharma",1,1,League,runs,140.0,223.0,20.0,0
3,0,0,0,0,MEK Hussey,38,Chandigarh,"K Goel, JR Hopes, KC Sangakkara, Yuvraj Singh, SM Katich, IK Pathan, P Dharmani, B Lee, PP Chawla, WA Mota, S Sreesanth","PA Patel, ML Hayden, MEK Hussey, MS Dhoni, SK Raina, JDP Oram, S Badrinath, Joginder Sharma, P Amarnath, MS Gony, M Muralitharan",1,2,League,runs,33.0,241.0,20.0,0
6,9,6,0,9,MV Boucher,49,Mumbai,"L Ronchi, ST Jayasuriya, DJ Thornely, RV Uthappa, PR Shah, AM Nayar, SM Pollock, Harbhajan Singh, MA Khote, A Nehra, DS Kulkarni","S Chanderpaul, R Dravid, LRPL Taylor, JH Kallis, V Kohli, MV Boucher, B Akhil, P Kumar, Z Khan, SB Joshi, R Vinay Kumar",1,4,League,wickets,5.0,166.0,20.0,0
8,3,3,0,8,SR Watson,43,Jaipur,"M Kaif, Kamran Akmal, YK Pathan, SR Watson, DS Lehmann, RA Jadeja, Pankaj Singh, D Salunkhe, SK Warne, SK Trivedi, MM Patel","K Goel, JR Hopes, KC Sangakkara, DPMD Jayawardene, Yuvraj Singh, IK Pathan, S Sohal, B Lee, PP Chawla, WA Mota, S Sreesanth",1,6,League,wickets,6.0,167.0,20.0,0
0,6,6,1,0,ML Hayden,26,Chennai,"PA Patel, ML Hayden, MEK Hussey, SK Raina, MS Dhoni, JDP Oram, S Badrinath, Joginder Sharma, P Amarnath, MS Gony, M Muralitharan","L Ronchi, ST Jayasuriya, RV Uthappa, SM Pollock, DJ Bravo, AM Nayar, MA Khote, Harbhajan Singh, A Nehra, VS Yeligati, DS Kulkarni",1,8,League,runs,6.0,209.0,20.0,0
3,6,6,1,3,KC Sangakkara,38,Chandigarh,"K Goel, IK Pathan, KC Sangakkara, Yuvraj Singh, RR Sarwan, DPMD Jayawardene, S Sohal, B Lee, PP Chawla, S Sreesanth, VRV Singh","L Ronchi, ST Jayasuriya, RV Uthappa, DJ Bravo, SS Tiwary, SM Pollock, AM Nayar, Harbhajan Singh, MA Khote, DS Kulkarni, A Nehra",1,10,League,runs,66.0,183.0,20.0,0
0,4,4,0,0,JDP Oram,26,Chennai,"PA Patel, ML Hayden, MS Dhoni, MEK Hussey, S Badrinath, SK Raina, JDP Oram, Joginder Sharma, P Amarnath, MS Gony, M Muralitharan","SC Ganguly, BB McCullum, RT Ponting, WP Saha, DJ Hussey, Mohammad Hafeez, LR Shukla, AB Agarkar, M Kartik, I Sharma, AB Dinda",1,11,League,wickets,7.0,136.0,20.0,0
9,8,8,1,8,SR Watson,22,Bangalore,"S Chanderpaul, R Dravid, LRPL Taylor, JH Kallis, V Kohli, MV Boucher, P Kumar, SB Joshi, Z Khan, R Vinay Kumar, A Kumble","GC Smith, M Rawat, YK Pathan, SR Watson, M Kaif, RA Jadeja, D Salunkhe, SK Warne, Sohail Tanvir, SK Trivedi, MM Patel",1,12,League,wickets,9.0,148.0,20.0,0
9,0,0,0,0,MS Dhoni,22,Bangalore,"B Chipli, W Jaffer, LRPL Taylor, JH Kallis, MV Boucher, V Kohli, R Dravid, P Kumar, Z Khan, B Akhil, DW Steyn","PA Patel, ML Hayden, MEK Hussey, SK Raina, MS Dhoni, JDP Oram, S Badrinath, JA Morkel, Joginder Sharma, P Amarnath, MS Gony",1,15,League,runs,13.0,179.0,20.0,0
4,6,4,0,6,ST Jayasuriya,14,Kolkata,"BB McCullum, SC Ganguly, RT Ponting, DB Das, DJ Hussey, Mohammad Hafeez, LR Shukla, AB Agarkar, M Kartik, I Sharma, AB Dinda","AM Rahane, ST Jayasuriya, MK Pandey, RV Uthappa, DJ Bravo, SM Pollock, AM Nayar, A Nehra, DS Kulkarni, CRD Fernando, PR Shah",1,16,League,wickets,7.0,138.0,20.0,0
8,4,8,0,8,SA Asnodkar,43,Jaipur,"GC Smith, SA Asnodkar, M Kaif, YK Pathan, SR Watson, RA Jadeja, SK Warne, Sohail Tanvir, M Rawat, SK Trivedi, MM Patel","Salman Butt, SC Ganguly, AB Agarkar, BJ Hodge, DJ Hussey, LR Shukla, DB Das, WP Saha, Umar Gul, I Sharma, AB Dinda",1,18,League,wickets,7.0,165.0,20.0,0
3,4,3,0,3,IK Pathan,38,Chandigarh,"SE Marsh, JR Hopes, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, K Goel, IK Pathan, PP Chawla, S Sreesanth, VRV Singh, Gagandeep Singh","Mohammad Hafeez, SC Ganguly, DB Das, BJ Hodge, DJ Hussey, LR Shukla, WP Saha, AB Agarkar, Umar Gul, I Sharma, AB Dinda",1,22,League,runs,3.0,157.0,20.0,0
